"PEOU 1","PEOU 2","PEOU 3","PEOU 4","PU 1","PU 2","PU 3","PU 4","PIQ 1","PIQ 2","PIQ 3","PIQ 4","PSQ 1","PSQ 2","PSQ 3","PSQ 4","US 1","US 2","US 3","US 4"
"5","5","5","5","4","4","4","4","5","4","4","4","3","4","4","4","4","4","4","4"
"3","4","6","5","3","4","3","4","4","3","4","4","3","4","4","4","4","3","4","4"
"5","5","5","4","3","4","3","5","3","4","4","3","5","3","5","3","5","4","6","6"
"5","5","5","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","4","6"
"5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"5","6","5","5","6","4","5","5","3","6","5","5","3","5","5","5","6","5","5","6"
"5","6","5","4","5","5","5","5","6","5","4","6","5","6","6","6","4","5","5","5"
"5","4","6","6","5","6","6","6","5","6","6","5","5","5","5","5","6","6","6","6"
"6","6","6","6","6","6","6","6","4","5","6","6","4","5","6","6","6","6","6","6"
"5","5","6","5","5","6","5","6","5","5","5","6","4","5","5","6","6","6","5","5"
"5","5","4","4","4","5","4","4","3","5","5","4","4","5","6","6","5","5","5","4"
"5","6","6","6","6","6","6","6","4","4","6","5","4","6","6","6","6","6","5","5"
"5","4","3","4","4","5","4","5","3","2","4","5","4","6","3","5","4","5","4","4"
"5","6","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","5","5","5","5","4","5","4","5","4","5","5","6","5","5","5","6","5","6","5"
"5","4","5","5","6","5","5","6","5","5","5","6","5","6","5","5","5","5","5","6"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","5","4","5","5","4","5","4","5","5","5","5","4","4","5","5","4","5","5","5"
"5","4","5","4","4","5","4","5","4","5","5","4","5","5","5","5","5","5","5","5"
"4","5","4","5","6","4","5","6","5","5","5","5","5","4","5","4","5","4","5","5"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"5","5","5","5","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","5","6","5","4","5","6","5","4","5","6","4","6","5","4","5","5","5","5","5"
"5","4","6","5","4","4","6","4","5","4","6","4","5","5","3","4","6","6","6","4"
"5","5","6","4","4","4","5","5","4","5","3","4","3","4","5","4","5","5","6","6"
"5","4","4","5","6","4","6","6","4","4","4","5","5","4","5","5","6","4","6","6"
"4","5","5","5","4","6","4","5","5","5","6","5","5","4","6","6","6","6","4","4"
"5","4","6","4","4","5","4","5","6","5","6","4","3","3","5","6","4","6","5","4"
"5","4","6","4","4","6","5","3","3","4","5","5","4","5","4","6","5","5","5","5"
"5","4","5","6","5","4","5","6","4","4","4","5","5","4","4","5","4","6","6","4"
"4","3","6","4","5","5","6","5","5","6","6","4","5","4","6","4","6","4","5","5"
"4","4","5","4","4","4","3","5","6","6","4","4","4","5","5","4","6","4","4","5"
"5","5","6","6","4","4","5","5","4","5","4","6","6","4","4","6","4","5","5","4"
"5","4","6","4","5","6","5","4","6","6","4","5","4","6","6","5","4","5","5","4"
"4","5","6","4","4","4","5","5","4","4","4","5","5","4","6","4","4","4","5","4"
"4","4","5","4","4","3","4","4","4","5","5","4","4","4","5","5","5","4","6","5"
"5","5","4","5","5","4","5","6","4","5","5","5","5","5","4","5","6","6","5","5"
